24-09-09 18:29:55.806 [main] INFO  c.i.H.ExpenseTracker.ExpenseTracker ----- Starting ExpenseTracker using Java 17.0.10 with PID 44256 (C:\Users\patil\IdeaProjects\ExpenseTrackerApp\target\classes started by patil in C:\Users\patil\IdeaProjects\ExpenseTrackerApp) 
24-09-09 18:29:55.814 [main] INFO  c.i.H.ExpenseTracker.ExpenseTracker ----- The following 1 profile is active: "develop" 
24-09-09 18:29:57.336 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ----- Multiple Spring Data modules found, entering strict repository configuration mode 
24-09-09 18:29:57.338 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ----- Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
24-09-09 18:29:57.687 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ----- Finished Spring Data repository scanning in 338 ms. Found 3 MongoDB repository interfaces. 
24-09-09 18:29:57.722 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ----- Multiple Spring Data modules found, entering strict repository configuration mode 
24-09-09 18:29:57.724 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ----- Bootstrapping Spring Data Redis repositories in DEFAULT mode. 
24-09-09 18:29:57.754 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport ----- Spring Data Redis - Could not safely identify store assignment for repository candidate interface co.in.HSBC.ExpenseTracker.repository.ConfigExpenseAppRepo; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository 
24-09-09 18:29:57.755 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport ----- Spring Data Redis - Could not safely identify store assignment for repository candidate interface co.in.HSBC.ExpenseTracker.repository.ExpenseRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository 
24-09-09 18:29:57.756 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport ----- Spring Data Redis - Could not safely identify store assignment for repository candidate interface co.in.HSBC.ExpenseTracker.repository.UserRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository 
24-09-09 18:29:57.756 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ----- Finished Spring Data repository scanning in 14 ms. Found 0 Redis repository interfaces. 
24-09-09 18:29:58.773 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer ----- Tomcat initialized with port 8081 (http) 
